Commodity,HSCode,Value_2020_M,Value_2023_M,Growth_5yr_%,Opportunity
GREY,52053410,18.75,306.15,1532.8,EMERGING_OPPORTUNITY
OTHER INDUSTRIAL MONOCARBOXYLIC FATTY ACID,38231900,123.96,304.23,145.4259438528558,EMERGING_OPPORTUNITY
PRINTED BOOKS,49011010,149.78,303.46,102.60381893443716,EMERGING_OPPORTUNITY
"PERSONAL COMPUTER (LAPTOP,PALMTOP,ETC)",84713010,23.94,300.15,1153.7593984962405,EMERGING_OPPORTUNITY
OTHERS-OF-OTHR BEAUTY/MAKE UP PRPNS NES,33049990,80.38,297.45,270.0547399850709,EMERGING_OPPORTUNITY
"FBRC OF POLSTR,MXD WTH VISCOS RYON,DYED",55151130,143.42,287.91,100.74606052154516,EMERGING_OPPORTUNITY
BELOW 55% FE,26011121,47.3,281.74,495.6448202959831,EMERGING_OPPORTUNITY
VACUUM GAS OIL,27101942,29.7,264.29,789.86531986532,EMERGING_OPPORTUNITY
"POWDER FISH MEAL,UNFT FOR HUMAN           CONSUMPTION",23012011,76.31,260.36,241.18726248198138,EMERGING_OPPORTUNITY
SHIRTS OF OTHER FIBRES,61059090,84.05,257.14,205.9369422962522,EMERGING_OPPORTUNITY
SHIRTS OF OTHER FIBRES,62059090,94.23,257.14,172.8854929427995,EMERGING_OPPORTUNITY
PLASTIC INSLTD CNDCTRS FR VLTGE >1000 V,85446020,79.75,255.91,220.89028213166145,EMERGING_OPPORTUNITY
"OTHR TUBS,PIPE AND HOLO PROFILE OF CIRCULR  CROSS-SECTION OF STAINLES STEEL,COLD      DRAWNOR COLD ROLLED",73044100,121.54,255.39,110.12835280566064,EMERGING_OPPORTUNITY
OTHERS ACRYLIC POLYMERS IN PRIMARY FORMS  EXCL. POLY (METHYL METHACRYLATE,39069090,122.74,251.43,104.84764542936288,EMERGING_OPPORTUNITY
"STRANDED WIRE,CBLS ETC WTH STEEL CORE",76141000,111.37,251.12,125.48262548262548,EMERGING_OPPORTUNITY
"OTHER CUTTING OIL, HYDRAULIC OIL, INDUSTRIAL WHITE OIL, JUTE BATCHING OIL, MINERAL OIL FOR COSMETIC  INDUSTRY",27101988,3.49,248.75,7027.507163323781,EMERGING_OPPORTUNITY
STARCH OF MAIZE (CORN),11081200,120.05,241.64,101.28279883381923,EMERGING_OPPORTUNITY
OTHERS-OF-OTHER (TILES FLAGSTONES ETC),68101990,109.75,240.35,118.99772209567199,EMERGING_OPPORTUNITY
OTHER FERRO-MANGANESE,72021900,74.52,237.04,218.08910359634996,EMERGING_OPPORTUNITY
FRONT-END SHOVEL LOADERS,84295100,74.65,229.98,208.07769591426654,EMERGING_OPPORTUNITY
NON-GALVANISED,73079190,88.25,229.14,159.64872521246457,EMERGING_OPPORTUNITY
NON-GALVANISED,73079990,52.01,229.14,340.5691213228225,EMERGING_OPPORTUNITY
NON-GALVANISED,73079290,13.85,229.14,1554.4404332129964,EMERGING_OPPORTUNITY
OTHER PARTS OF DIESEL/SEMI DIESEL ENGINES,84099949,90.18,228.87,153.79241516966067,EMERGING_OPPORTUNITY
LTHR SANDALS WITH OTHR SOLE,64039990,110.41,225.53,104.26591794221538,EMERGING_OPPORTUNITY
LQD DIELECTRC TRNSFRMRS HVNG A PWR        HNDLNG CAPACITY NT EXCDNG 650 KVA,85042100,70.43,225.36,219.97728240806472,EMERGING_OPPORTUNITY
RADIALS TYRES USED ON MOTOR CARS (INCL    STATION WAGONS AND RACING CARS),40111010,84.78,224.01,164.22505307855624,EMERGING_OPPORTUNITY
OTHR ELCTRC CNDCTRS NOT FITTED WTH CONNCTRS USED IN TELECOM FR <=1000V EXCL PAPR PLSCTIC AND RUBBER INSULATED,85444999,77.21,222.68,188.40823727496442,EMERGING_OPPORTUNITY
HAND-MADE,57019031,8.9,218.12,2350.7865168539324,EMERGING_OPPORTUNITY
HAND-MADE,57019011,4.1,218.12,5220.000000000001,EMERGING_OPPORTUNITY
EMERALDS,71039130,71.47,216.18,202.476563593116,EMERGING_OPPORTUNITY
"OTHER PLATES,SHEETS,STRIPS",72101290,76.29,216.02,183.1563769825665,EMERGING_OPPORTUNITY
"OTHERS-OF-OTHERS-OF-FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",03045990,0.02,215.18,1075800.0,EMERGING_OPPORTUNITY
"OTHERS-OF-OTHERS-OF-FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",03044990,0.22,215.18,97709.09090909091,EMERGING_OPPORTUNITY
"POTATOES PRPD/PRSVD, FRZN",20041000,42.41,214.64,406.1070502240038,EMERGING_OPPORTUNITY
UNSTRD BUTS-1 3-DIENE AND ISOPRENE,29012400,97.92,212.85,117.37132352941175,EMERGING_OPPORTUNITY
CARPETS,57025021,0.71,207.84,29173.23943661972,EMERGING_OPPORTUNITY
CARPETS,57029110,5.38,207.84,3763.1970260223047,EMERGING_OPPORTUNITY
*PARTS OF THE AIR CONDITIONING MACHINES ETC,84159000,75.53,207.15,174.26188269561763,EMERGING_OPPORTUNITY
NATURAL HONEY,04090000,96.79,206.47,113.31749147639218,EMERGING_OPPORTUNITY
OTHERS-OF-FLTRNG AND PURIFYING MCHNRY AND APPRTS FR WTR,84212190,98.8,203.73,106.20445344129554,EMERGING_OPPORTUNITY
"OTHERS-OF-OTHER PUMPS,COMPRESSORS ETC",84148090,98.73,201.77,104.36544110199534,EMERGING_OPPORTUNITY
PARTS OF TURBO-JETS/TURBO PROPELLERS,84119100,67.11,199.75,197.64565638503944,EMERGING_OPPORTUNITY
"SALBUTAMOL, TERBUTALINE, EPHEDRINE,       SALMETEROL AND METHYL XANTHIMES",30049091,94.91,198.89,109.5564218733537,EMERGING_OPPORTUNITY
"HUMAN HAIR,UNWORKED; WHETHR OR NOT WASHD  OR SCOURED",05010010,11.65,197.88,1598.5407725321886,EMERGING_OPPORTUNITY
"PRTS OF BORNG/SNKNG MCHNRY,NOT SLF-PRPLD",84314390,79.11,195.51,147.13689799014028,EMERGING_OPPORTUNITY
"BLOUSES,SHIRTS ETC OF OTHR TXTL MATERIALS",62069000,93.02,187.11,101.15029026015914,EMERGING_OPPORTUNITY
CALCINED PETROLEUM COKE FOR ANODE MAKING IN ALUMINIUM INDUSTRY CONFORMING TO STANDARD IS 17049,27131210,36.67,186.32,408.09926370329964,EMERGING_OPPORTUNITY
"TROUSERS,BIB ETC OF OTHER FIBRES",62046990,87.21,186.08,113.37002637312237,EMERGING_OPPORTUNITY
OTHER THREADED ARTICLES,73181900,90.58,184.38,103.55486862442041,EMERGING_OPPORTUNITY
UNDERPANTS AND BRIEFS OF COTTON,62071100,16.53,184.35,1015.2450090744101,EMERGING_OPPORTUNITY
