symbol,train_hit_rate,test_hit_rate,test_mean_excess
TSCO,0.5714285714285714,0.0,-10.987609
SYK,0.7142857142857143,0.0,-11.024031
YUM,0.5714285714285714,0.0,-11.046529
DCOM,0.42857142857142855,0.0,-11.145842
KMT,0.14285714285714285,0.5,-11.215913
ADUS,0.5714285714285714,0.5,-11.361139
DRI,0.5714285714285714,0.0,-11.387438
OFIX,0.2857142857142857,0.5,-11.393645
KNSL,0.8571428571428571,0.5,-11.452949
ADT,0.3333333333333333,0.5,-11.543595
LECO,0.42857142857142855,0.5,-11.554497
PCAR,0.42857142857142855,0.0,-11.56534
LII,0.42857142857142855,0.5,-11.618844
DE,0.5714285714285714,0.0,-11.73321
SPH,0.14285714285714285,0.0,-11.776942
WCN,0.5714285714285714,0.0,-11.821306
PFG,0.42857142857142855,0.5,-11.943798
SCI,0.5714285714285714,0.0,-11.947369
GSHD,0.6,0.5,-11.983798
KFY,0.42857142857142855,0.0,-12.03531
BMI,0.8571428571428571,0.5,-12.041047
EPR,0.5714285714285714,0.5,-12.059631
CDNS,1.0,0.0,-12.149549
PTON,0.25,0.5,-12.175817
DNOW,0.2857142857142857,0.0,-12.195217
SIGA,0.5714285714285714,0.0,-12.303334
CWST,0.8571428571428571,0.0,-12.326622
YUMC,0.42857142857142855,0.0,-12.343014
PRU,0.2857142857142857,0.0,-12.361717
VVX,0.42857142857142855,0.0,-12.384307
ALV,0.14285714285714285,0.5,-12.391928
MPT,0.2857142857142857,0.5,-12.482193
GBX,0.5714285714285714,0.5,-12.509164
MMSI,0.5714285714285714,0.5,-12.611359
IIIV,0.2,0.0,-12.863016
BOX,0.42857142857142855,0.0,-12.864008
NTNX,0.5714285714285714,0.5,-12.906344
PHM,0.7142857142857143,0.0,-12.909847
VEEV,0.5714285714285714,0.0,-13.226784
LNG,0.5714285714285714,0.5,-13.255209
UCB,0.42857142857142855,0.0,-13.371384
KRG,0.42857142857142855,0.0,-13.417011
RRC,0.5714285714285714,0.0,-13.442636
ATRC,0.2857142857142857,0.5,-13.471761
RBB,0.3333333333333333,0.0,-13.506347
SKY,0.5714285714285714,0.0,-13.69062
HR,0.14285714285714285,0.0,-13.972218
PSN,0.5,0.5,-13.977181
GLP,0.7142857142857143,0.0,-14.146769
MTD,0.7142857142857143,0.0,-14.3059435
LOW,0.7142857142857143,0.0,-14.488035
CHSCL,0.2857142857142857,0.0,-14.584624
PINE,0.5,0.0,-14.992254
RUSHA,0.8571428571428571,0.0,-15.089088
SGU,0.14285714285714285,0.0,-15.093738
CEVA,0.2857142857142857,0.5,-15.171346
CRTO,0.2857142857142857,0.5,-15.289215
XHR,0.14285714285714285,0.0,-15.337079
CQP,0.2857142857142857,0.0,-15.345066
CELH,0.8571428571428571,0.5,-15.407593
CHSCM,0.2857142857142857,0.0,-15.4504
INVX,0.2857142857142857,0.5,-15.552689
CWCO,0.42857142857142855,0.5,-15.570244
RILY,0.42857142857142855,0.0,-15.596735
POST,0.2857142857142857,0.0,-15.606642
SBH,0.14285714285714285,0.5,-15.723589
BAND,0.5,0.0,-15.766126
RUSHB,0.7142857142857143,0.0,-15.790784
ADTN,0.42857142857142855,0.0,-15.80011
CRM,0.5714285714285714,0.5,-15.849676
INTU,0.8571428571428571,0.0,-15.906149
AYTU,0.0,0.5,-15.916815
UBSI,0.14285714285714285,0.0,-15.97777
HRI,0.7142857142857143,0.5,-15.992606
JOE,0.42857142857142855,0.5,-15.996531
WMS,0.7142857142857143,0.5,-16.025785
FRPT,0.7142857142857143,0.5,-16.036194
MATX,0.5714285714285714,0.0,-16.048859
PLUS,0.2857142857142857,0.5,-16.1991
USAC,0.5714285714285714,0.0,-16.26153
LH,0.5714285714285714,0.0,-16.26582
WHD,0.5,0.5,-16.319744
ALGT,0.14285714285714285,0.0,-16.330873
WKC,0.2857142857142857,0.0,-16.38504
SNDR,0.3333333333333333,0.0,-16.426117
HGV,0.2857142857142857,0.0,-16.493301
SHW,0.8571428571428571,0.0,-16.526365
NJR,0.2857142857142857,0.0,-16.565775
IDYA,0.75,0.5,-16.613894
LCII,0.42857142857142855,0.5,-16.658241
INGR,0.14285714285714285,0.5,-16.727947
JBLU,0.0,0.5,-16.811668
PUMP,0.2857142857142857,0.0,-16.871048
CVX,0.2857142857142857,0.0,-16.91351
SEDG,0.5714285714285714,0.5,-16.917461
TXN,0.5714285714285714,0.0,-16.923302
VRTX,0.7142857142857143,0.0,-16.932632
SNDX,0.42857142857142855,0.5,-16.951912
PLAB,0.7142857142857143,0.5,-16.987875
WTRG,0.42857142857142855,0.0,-17.036543
APAM,0.5714285714285714,0.0,-17.112255
BJRI,0.2857142857142857,0.0,-17.122925
O,0.2857142857142857,0.0,-17.124247
SONO,0.4,0.5,-17.149426
LZB,0.2857142857142857,0.0,-17.167013
JBGS,0.16666666666666666,0.0,-17.280941
PR,0.42857142857142855,0.0,-17.355259
SIBN,0.4,0.5,-17.379444
