effect,coef,se,p,horizon,n,p_fdr
darvas:fcf_yield,-1.470421524279837,0.7999329878489191,0.06603575610475733,xret_T+126d,55410,0.3328906623904196
small_cap_growth:eps_growth,-13.70924389691437,7.456154456139529,0.06596696811638487,xret_T+126d,55410,0.3328906623904196
darvas:debt_reduction,-2.6905932430917185,1.4713220268587621,0.06744592223840719,xret_T+126d,55410,0.3372296111920359
magic_formula:bull_cartel,-7.735707999447612,4.277140589593311,0.07051056853980489,xret_T+126d,55410,0.34514925797730844
sloan_quality:small_cap_growth,7.778661101484529,4.300514627352998,0.07048604679827941,xret_T+126d,55410,0.34514925797730844
small_cap_growth:operating_margin,-10.24367560905146,5.684646216341592,0.0715469796310921,xret_T+126d,55410,0.3473060717551376
small_cap_growth:debt_reduction,-12.338192027013179,7.007654503895936,0.07829366972802919,xret_T+126d,55410,0.3670886472123789
piotroski:bull_cartel,2.7061445243215116,1.5455888778582039,0.0799661511514394,xret_T+126d,55410,0.3722805800071428
reversal_weekly:pead_positive_surprise,-3.5995287157880296,2.069071604131695,0.08191469429599872,xret_T+126d,55410,0.3770109437082855
golden_cross:fcf_yield,-1.279884875582813,0.7405570135264519,0.0839392467914832,xret_T+126d,55410,0.3800342187208904
small_cap_growth:ps_value,10.698001020998918,6.195737615097475,0.08422675056709801,xret_T+126d,55410,0.38068179716003986
roce_plus:reversal_weekly,-5.269464958534504,3.0605512283320677,0.08511713199263554,xret_T+126d,55410,0.38339084239417887
growth_stocks:fcf_yield,7.008594406042391,4.098380061907284,0.0872494281075165,xret_T+126d,55410,0.38966481875136605
bull_cartel:graham_10y,3.346595963034097,1.9632115521491003,0.08825901769416111,xret_T+126d,55410,0.39086136407414207
sloan_quality:fcf_yield,-1.444904599615307,0.8524945784126219,0.09009182448509022,xret_T+126d,55410,0.39631378550619817
new_highs:ev_ebitda_value,1.8372153001438374,1.0860359675034985,0.09070876484545948,xret_T+126d,55410,0.3976998259031376
not_distress:small_cap_growth,9.085442156195013,5.398813827888293,0.09240240038601726,xret_T+126d,55410,0.402208146433422
new_highs:not_distress,1.645234730566317,0.9869372127314937,0.09551231016069053,xret_T+126d,55410,0.40527365100389623
darvas:fcf_margin,-1.5693731114121885,0.9525471718048227,0.09944418156722802,xret_T+126d,55410,0.41925666948743334
reversal_weekly:peg_value,3.770183185163206,2.292144682289584,0.10000533736089286,xret_T+126d,55410,0.4202776139488879
roic_value,-4.247783021361092,2.610739320078701,0.10372813754519469,xret_T+126d,55410,0.4240855938796014
sloan_quality:operating_margin,-1.7024156921037368,1.0475428625263152,0.10413031470212603,xret_T+126d,55410,0.4240855938796014
growth_stocks,20.618957004040645,12.718229011138694,0.10497198600749592,xret_T+126d,55410,0.4255402817380796
