Symbol,ebit,capital_employed,cash,roace,years,roace_ex_cash,cash_pct_of_ce,roace_cv,f_score,f_max,f_tested,turnover,tier,roace_pct,roace_ex_cash_pct
CDSL,6091590000.0,20480888000.0,9395493000.0,0.29742802167562266,4,0.5495149248177444,45.87444157694725,0.11750857502508905,3.5,7,6.0,2239916540.8,LARGE,29.742802167562267,54.951492481774444
TRENT,24048300000.0,85175900000.0,9288900000.0,0.28233690515744475,4,0.31689617457535546,10.905549574468834,0.343854947265642,4.0,7,7.0,3772547127.2999997,LARGE,28.233690515744474,31.689617457535547
CIPLA,52718600000.0,354823900000.0,100281200000.0,0.14857680105539678,4,0.2071110269514702,28.262245017880698,0.1497557747331964,3.0,7,7.0,1756977589.15,LARGE,14.857680105539679,20.71110269514702
KAYNES,6212410000.0,51667590000.0,8251480000.0,0.12023804477816752,4,0.14308997282345193,15.970321046520652,0.1582013865670818,2.0,7,7.0,3964684436.8,LARGE,12.023804477816752,14.308997282345192
CELLO,4412273000.0,27353110000.0,7625594000.0,0.16130790977698697,4,0.22366085015467735,27.878343632588766,0.32774220212350424,2.3333333333333335,7,6.0,65338407.875,MID,16.130790977698698,22.366085015467736
VIMTALABS,1044640000.0,4967050000.0,668760000.0,0.21031396905607957,4,0.24303618415695544,13.463927280780341,0.06459590803934234,5.0,7,7.0,87439988.325,MID,21.031396905607956,24.303618415695542
WSTCSTPAPR,2790152000.0,47082130000.0,12207279000.0,0.05926138006075766,4,0.08000470023513505,25.927626893685567,0.7006794275533441,5.0,7,7.0,61736426.975,MID,5.926138006075766,8.000470023513504
RELTD,365110000.0,5945110000.0,196170000.0,0.06141349781585202,4,0.06350909906869788,3.299686633216206,1.6596937687718736,6.0,7,7.0,64995724.230000004,MID,6.141349781585202,6.350909906869788
ORCHPHARMA,342754000.0,16319408000.0,840740000.0,0.021002845201247497,4,0.02214363664883826,5.151780015549583,0.4263244310962959,3.0,7,7.0,66833829.849999994,MID,2.1002845201247498,2.214363664883826
TALBROAUTO,1440992000.0,7918088000.0,1153445000.0,0.1819873686677895,4,0.21301818883864235,14.567216226947718,0.15958268106778456,4.0,7,7.0,66011212.575,MID,18.19873686677895,21.301818883864236
MANYAVAR,5522770000.0,24744710000.0,5421970000.0,0.22318992625090373,4,0.2858171253145258,21.911632829804837,0.1665089191572522,3.5,7,6.0,72727325.9,MID,22.318992625090374,28.58171253145258
ELLEN,1447840000.0,11122280000.0,1644080000.0,0.13017474834296566,1,0.15275474246164883,14.781861273048333,,,7,,87653906.44999999,MID,13.017474834296566,15.275474246164883
